nm0005979	Robert F. Brunner	1938	2009	composer,music_department,soundtrack	tt0062737,tt0046593,tt0059793,tt0065566
nm0006251	Graeme Revell	1955	\N	composer,music_department,soundtrack	tt0134847,tt0910936,tt0287978,tt0401792
nm0007220	Ricardo Cortez	1900	1977	actor,director,soundtrack	tt0022111,tt0028478,tt0031678,tt0017480
nm0009530	Alon Aboutboul	1965	\N	actor,director,soundtrack	tt0095956,tt0758774,tt1345836,tt3300542
nm0014761	Roberto Airaldi	1902	1977	actor,director	tt0062444,tt0184789,tt0195080,tt0068895
nm0015118	Shigeru Akatsuka	\N	\N	cinematographer	tt0073234,tt0451930,tt0142257,tt0076281
nm0017793	Iván Aledo	\N	\N	editor,actor,editorial_department	tt0117909,tt0254455,tt0427582,tt0133363
nm0018085	Haralambos Alepis	\N	\N	editor,editorial_department,composer	tt0257632,tt0217704,tt0236462,tt0251715
nm0018951	A. Alexeyev	\N	\N	director,writer	tt0291260,tt0201711,tt0291425
nm0022765	Héctor Alterio	1929	\N	actor,soundtrack	tt0219426,tt0292542,tt0124312,tt0089276
nm0033161	Luis Arata	1895	1967	actor	tt0205093,tt0029220,tt0197494,tt0024697
nm0033169	Ubaldo Arata	1895	1947	cinematographer,camera_department	tt0041182,tt0029526,tt0038890,tt0025791
nm0033346	Sivan Arbel	\N	\N	director,writer,editor	tt0385744,tt0157669,tt0116424,tt1556676
nm0034506	Giannis Argyris	\N	1993	actor	tt0124437,tt0055375,tt0200448,tt0291948
nm0034922	Aristophanes	\N	\N	writer	tt4594834,tt0201742,tt0062981,tt0335261
nm0035037	Aleksandr Arkatov	\N	\N	director,writer	tt0220043,tt0206781,tt0210791,tt0009616
nm0035532	Martin Armknecht	1962	\N	actor,producer	tt0109255,tt0114335,tt0115448,tt0088554
nm0036445	Franz Arnold	1878	1960	writer	tt0202369,tt0169079,tt0281143,tt0054600
nm0036854	Bosco Arochi	\N	\N	director,producer,writer	tt0427930,tt0454185,tt0237143,tt0321622
nm0039920	Jacques Assuérus	\N	\N	cinematographer,camera_department	tt0083863,tt0089762,tt0094178,tt0089103
nm0040695	David Atkinson	\N	\N	actor,production_manager,miscellaneous	tt1777595,tt0373084,tt0201726,tt2436672
nm0042553	William Austin	1903	1993	editor,editorial_department,cinematographer	tt0052602,tt0056331,tt0037303,tt0052587
nm0043247	Vasilis Avlonitis	\N	1970	actor,soundtrack	tt0199550,tt0135573,tt0135519,tt0051927
nm0045310	Ernst Bach	1876	1929	writer	tt0281143,tt0169079,tt0054600,tt0202369
nm0048687	Leigh-Allyn Baker	1972	\N	actress,director,soundtrack	tt2219622,tt1415889,tt1828976,tt1073668
nm0051502	Junzaburô Ban	1908	1981	actor,producer	tt0052413,tt0451987,tt3862080,tt0065649
nm0052023	Donatas Banionis	1924	2014	actor	tt0067155,tt0063332,tt0201707,tt0069293
nm0053349	Antonio Barber	\N	\N	actor	tt0017852,tt0017892,tt0020177
nm0054218	Juan Bardem	\N	\N	composer,music_department,soundtrack	tt1543270,tt0484064,tt2780380,tt0306432
nm0054221	Miguel Bardem	\N	\N	director,editorial_department,writer	tt0201721,tt0970469,tt0382097,tt0117131
nm0054977	Reginald Barker	1886	1945	director,writer,producer	tt0025515,tt0006517,tt0005149,tt0003657
nm0056401	Vartkes Baronijan	1933	1993	composer,music_department,producer	tt0193072,tt0086630,tt0080069,tt0174053
nm0058217	William Barrymore	1899	1979	actor	tt0020170,tt0156959,tt0174282,tt0315812
nm0060654	Henry Bataille	1872	1922	writer	tt0019172,tt0025681,tt0020134,tt0031251
nm0061505	Gregory Battle	\N	\N	actor	tt0181311,tt0313341,tt0240409,tt0120172
nm0061615	C.J. Bau	\N	\N	actor	tt0361969,tt0113972,tt0117731,tt0169981
nm0061682	Henri Baudin	1882	1953	actor	tt0198912,tt0018192,tt0334647,tt0199413
nm0064053	Ted Beasley	\N	\N	cinematographer	tt0012343,tt0012017
nm0066120	Tomasz Bednarek	1969	\N	actor	tt1135081,tt1205603,tt0385061,tt0182607
nm0066664	Leslie Bega	1967	\N	actress,miscellaneous	tt0090444,tt0247082,tt0113161,tt0141842
nm0067429	Ivan Bekjarev	1946	\N	actor,writer	tt0090399,tt0169145,tt0191733,tt0425695
nm0069348	Dirce Belmonte	1927	\N	actress	tt0201756,tt0193737,tt0180681,tt0228484
nm0073239	George Beranger	1893	1973	actor,director,writer	tt0009968,tt0004972,tt0040740,tt0016629
nm0075142	Adolf Bergunker	1906	\N	director,assistant_director	tt0240001,tt0048631,tt0050917,tt0053817
nm0075244	Gabriel Beristain	1955	\N	cinematographer,camera_department,producer	tt0421073,tt0257076,tt0359013,tt0187738
nm0079007	Wayne Best	\N	\N	actor	tt0096101,tt0098273,tt0455321,tt0132245
nm0079293	Lloyd Bettell-Higgins	\N	\N	visual_effects,writer	tt0115195,tt0241527,tt0098774
nm0080339	Amit Bhattacharya	\N	\N	cinematographer,camera_department	tt0385567,tt0272440,tt0184799,tt0802821
nm0081730	Daniel Bigel	1965	\N	producer,executive	tt0242508,tt0165643,tt0124179,tt0262396
nm0083343	Betty Bird	1901	1998	actress	tt0022417,tt0018794,tt0464221,tt0020719
