tt0012017	7.4	19
tt0020175	6.7	11
tt0020177	6.6	36
tt0020179	7.0	65
tt0022017	7.6	835
tt0032017	6.2	56
tt0052017	7.7	1640
tt0082017	6.8	199
tt0088486	5.7	99
tt0092017	6.9	71
tt0096545	6.5	1047
tt0098774	8.4	1235
tt0102017	5.2	19
tt0120171	6.1	158
tt0120172	6.6	43
tt0120174	3.0	153
tt0120176	7.3	19368
tt0120177	5.2	55808
tt0120178	7.1	11
tt0120179	3.8	63780
tt0122017	5.8	81
tt0137204	7.3	19
tt0152017	5.4	7
tt0157246	7.2	39701
tt0162017	4.3	6
tt0163488	7.4	756
tt0172017	8.1	14
tt0182607	1.9	223
tt0201701	2.8	6
tt0201705	7.0	88
tt0201707	6.1	58
tt0201709	5.3	11
tt0201714	4.2	13
tt0201716	6.4	48
tt0201718	6.7	6
tt0201719	5.6	154
tt0201720	5.3	26
tt0201721	5.2	501
tt0201722	3.9	113
tt0201724	5.3	23
tt0201726	4.5	234
tt0201728	6.1	7
tt0201729	7.1	11
tt0201732	5.9	220
tt0201737	4.8	150
tt0201739	8.2	15
tt0201740	6.9	12
tt0201742	5.6	89
tt0201743	7.1	260
tt0201745	5.5	160
tt0201747	5.5	6
tt0201751	6.2	43
