tt0002017	nm0532072,nm0285961,nm0784407,nm0649211,nm0635667,nm0827509,nm0202562
tt0012017	nm0885820,nm0269493,nm0139279,nm0122991,nm0064053,nm0949593,nm0385686,nm0775419,nm0073239,nm0106785
tt0020170	nm0042553,nm0058217,nm0005691,nm0664527,nm0724586,nm0395130,nm0365635
tt0020171	nm0007220,nm0282549,nm0095487,nm0369038,nm0369036,nm0821472,nm0448790,nm0002311,nm0346843,nm0934780
tt0020172	nm0496505,nm0447339,nm0487973,nm0823523,nm0682350,nm0567224,nm0520501,nm0392096,nm0863833
tt0020174	nm0054977,nm0771584,nm0313867,nm0000910,nm0716139,nm0522871,nm0290066,nm0276299,nm0247394,nm0113954
tt0020175	nm0885128,nm0850483,nm0140504,nm0369038,nm0717046,nm0282549,nm0369036,nm0588316,nm0730837,nm0400611
tt0020176	nm0321704
tt0020177	nm0900189,nm0144819,nm0255980,nm0053349,nm0749234,nm0671778,nm3319225,nm0603873,nm3295914,nm0649563
tt0020178	nm0543270,nm0477989,nm0091415,nm0083343,nm0956272,nm0667152,nm0682176,nm0202209,nm0509510,nm0761382
tt0020179	nm0515921,nm0569697,nm0907778,nm0396012,nm0151610,nm0569696,nm0380928,nm0193015,nm0404257,nm0178114
tt0022017	nm0883335,nm0655065,nm0123972,nm0710888,nm0653118,nm0920918,nm0334603,nm0483849,nm0436922,nm3673346
tt0032017	nm0355284,nm0499628,nm0172812,nm0258525,nm0257700,nm0335455,nm0115597,nm0512267,nm0002048,nm0725897
tt0042017	nm0867891,nm0717901,nm0555990,nm0947285,nm0265761,nm0206526,nm0005631,nm0305725,nm0649563,nm0854149
tt0052017	nm0862026,nm0512482,nm0196992,nm0804062,nm0934415,nm0410694,nm0000005,nm0386113,nm0000761
tt0062017	nm0594860,nm0161598,nm0096846,nm0900628,nm0627511,nm0158166,nm0458147,nm0474341,nm0412051,nm0075142
tt0072017	nm0193638,nm0532715,nm0814162,nm0637299,nm0471807,nm0405407,nm0192083,nm0832535,nm0514097,nm0882884
tt0082017	nm0005880,nm0732468,nm0628017,nm0634303,nm0183857,nm0568546,nm0000256,nm0832086,nm0005979,nm0572320
tt0088486	nm0843082,nm0767331,nm1824677,nm0804132,nm1197488,nm0085226,nm0390155,nm2907429,nm0658505,nm3359763
tt0092017	nm0547670,nm0659512,nm0800439,nm0878448,nm0225118,nm0733578,nm0211143,nm0000420,nm0217285,nm0556255
tt0096545	nm0733474,nm1073947,nm2048333,nm0704351,nm0767342,nm0334593,nm5465744,nm0689948,nm0506912,nm0430639
tt0098774	nm0079293,nm0639782,nm0876128,nm0139159,nm1547964,nm1354458,nm1639981,nm8516873,nm0961826,nm1636647
tt0102017	nm1662916,nm0186962,nm0155599,nm3113521,nm2687196,nm0160899,nm0960013,nm0874687,nm0514904,nm5235550
tt0112017	nm0270035,nm0941946,nm0458838,nm0919256,nm0251664,nm0035532,nm0344427,nm0772805,nm0097008,nm0762997
tt0112502	nm6883878,nm0373872,nm0227234
tt0120170	nm3102062
tt0120171	nm0811065,nm0080339,nm0124079,nm0597223,nm0829480,nm0436105,nm0005079,nm0005221,nm0385427,nm0169807
tt0120172	nm0113768,nm1061968,nm0163782,nm0751609,nm0061505,nm0061615,nm0650001,nm0163892,nm0002470
tt0120173	nm0115874,nm0594737,nm1591875,nm0460638,nm0380497,nm0003572,nm0551903,nm0703080
tt0120174	nm0390775,nm0279675,nm0700706,nm0191584,nm0110805,nm0005301,nm0000929,nm0542620,nm0165872,nm0094047
tt0120175	nm0863661,nm0917577,nm0194283,nm5427179,nm0770849,nm0045310,nm0775638,nm0036445,nm6801470,nm0246171
tt0120176	nm0000188,nm0001980,nm0001714,nm0075244,nm0876392,nm0000519,nm0001262,nm0235389,nm0682071,nm0303472
tt0120177	nm0568825,nm0000640,nm0925220,nm0325755,nm0568416,nm0000491,nm0006251,nm0622897,nm0005337,nm0228147
tt0120178	nm0230956,nm0789557,nm0788743,nm0505448,nm0270997,nm0109140,nm0009530,nm0252628,nm0952055,nm0033346
tt0120179	nm0000957,nm0000574,nm0679017,nm0675305,nm0000353,nm0622288,nm0566595,nm0000113,nm0607325,nm0003662
tt0122017	nm0000305,nm0293989
tt0137204	nm0365480,nm0852647,nm0908708,nm0367762,nm0003210,nm1930572,nm0186322,nm0448515,nm0153581
tt0142017	nm0685139
tt0152017	nm0607334,nm0711197,nm0770535
tt0157246	nm0303132,nm0001065,nm0607314,nm0616083,nm0463172,nm0005003,nm0005259,nm0005226,nm0005202,nm0048687
tt0162017	nm0856056,nm0770535,nm0608487
tt0163488	nm1465223,nm7490400,nm3111641,nm7486844,nm8335674,nm8334110,nm7490401,nm0668959,nm0153002,nm3909049
tt0172017	nm0668045,nm0392250,nm0649041,nm0097278,nm0271070
tt0182017	nm0254548
tt0182607	nm0652562,nm0664359,nm0392666,nm0066120,nm2025599,nm0621548,nm0333179,nm0830857,nm0123399,nm0467860
tt0192017	nm0155545
tt0201700	nm0036854,nm0479086,nm0234500,nm0000085,nm0798542,nm0539270
tt0201701	nm0839726,nm0225810,nm0795837,nm0873490,nm0363318,nm0039920,nm0201231,nm0612474,nm0231286
tt0201702	nm1075055,nm0868535,nm0499482,nm0210114,nm0349432,nm0304876,nm0136344,nm0014761,nm0273766,nm0147445
tt0201703	nm0548664,nm0242198,nm0590518,nm0644777,nm1011948,nm0825049,nm9025496,nm1213193,nm0056401,nm0252222
tt0201704	nm0464027,nm0610702,nm0056401,nm0505471,nm0416014,nm0120241,nm0194119,nm0415631,nm0067429,nm0191330
tt0201705	nm0436166,nm0468042,nm0441463,nm0287566,nm0002187,nm0515102,nm0875040,nm0843498,nm0687211,nm0034506
tt0201706	nm0279043
tt0201707	nm0500511,nm0453721,nm0052023,nm0900032,nm0445449,nm0529414,nm0341911,nm0613987,nm0623059
tt0201709	nm0497644,nm0331757,nm0383248,nm0370634,nm2186979,nm0910996,nm0003302,nm0947164
tt0201710	nm0757193,nm0847028,nm0476179,nm0051502,nm0465235,nm0297984
tt0201711	nm0018951,nm0549178,nm0120006
tt0201712	nm0597355,nm0252222,nm0845752
tt0201713	nm0848533,nm1351617
tt0201714	nm0320032,nm0439028,nm1314396,nm0320266,nm0660362,nm0477483,nm0493753,nm1671530,nm2596988,nm0221835
tt0201715	nm0846308,nm0495557,nm0586285
tt0201716	nm6674437,nm0590985,nm0945645,nm0619107,nm0945490,nm0649033,nm0945779,nm0434985,nm0757325
tt0201717	nm0866232,nm1029136,nm0468931
tt0201718	nm0620052,nm0619997,nm0945212,nm0015118,nm0875503,nm0949033,nm0434120,nm0633997,nm0475568
tt0201719	nm0197929,nm0687211,nm1458340,nm0660362,nm0277133,nm0018085,nm0443666,nm0688008,nm0196613,nm2262327
tt0201720	nm0754766,nm0005809,nm0537980,nm0890571,nm1696579,nm0035037,nm0842963,nm0360916,nm0233981
tt0201721	nm0301984,nm0130977,nm0054218,nm0708620,nm0264977,nm0022765,nm0419512,nm0959575,nm0017793,nm0054221
tt0201722	nm2604487,nm0136025,nm0320032,nm0465348,nm2571246,nm1190785,nm0462685,nm0465349,nm0945048,nm0115306
tt0201723	nm0416070,nm0099244,nm0577476,nm1281595,nm0672963,nm0745577,nm1108624
tt0201724	nm0660292,nm0493950,nm0824009,nm0467373,nm2522828,nm1689335,nm0586901,nm0043247,nm0320266,nm2600219
tt0201726	nm0000608,nm0081730,nm0000276,nm0537550,nm0370879,nm0040695,nm0732974,nm0066664,nm0162801,nm0000973
tt0201727	nm0610702,nm0482408,nm0590514,nm0096820,nm0799509,nm0691424,nm0229308,nm0904360,nm0272194,nm0525678
tt0201728	nm0166393,nm0001348,nm0462899,nm0494886,nm0781024,nm0880680,nm2261796,nm0819368
tt0201729	nm0005959,nm0911133,nm0217848,nm0294261,nm1746331,nm0375350,nm0091380,nm0681726,nm0772300
tt0201730	nm0820028
tt0201732	nm0510113,nm0870351,nm0329640,nm0921979,nm0440514,nm0079007,nm0512052,nm0237705,nm0824122,nm0004447
tt0201733	nm1823707,nm0623896
tt0201734	nm2532692,nm1163787,nm0839302,nm1908630,nm0648505,nm0398898,nm2110665,nm0939473,nm1282887,nm2203417
